year,ami_cases_total,ami_cases_men,ami_cases_women,ami_crude_incidence_per100k,ami_asir_men,ami_asir_women,ami_asmr_men,ami_asmr_women,stroke_cases_total,stroke_cases_men,stroke_cases_women,stroke_crude_incidence_per100k,stroke_asir_men,stroke_asir_women,stroke_asmr_men,stroke_asmr_women,stroke_28day_cfr_pct
2013,352,191,161,124,93,57,56,38,695,327,368,244.5,162,132,66,54,36
2014,410,220,190,144,105,61,59,34,584,268,316,205.0,127,111,45,36,30
2015,324,169,155,114,84,54,35,24,586,267,319,205.4,128,110,50,43,43
2016,438,250,188,153,120,62,66,33,721,329,392,252.3,154,135,65,60,28
2017,467,253,214,163,115,71,59,31,648,301,347,226.4,137,119,52,47,32
2018,482,269,213,168,122,67,66,40,682,327,355,237.9,151,120,49,49,25
2019,547,271,276,191,120,83,61,45,758,362,396,264.1,157,127,67,53,32
2020,547,285,262,190,124,77,66,45,700,335,365,243.6,149,123,43,45,43
2021,467,245,222,166,118,77,78,55,691,334,357,245.7,162,127,70,57,28
2022,556,302,254,198,146,89,98,64,765,382,383,272.0,184,138,90,62,22
